STATE,LEA_NAME,SCHOOL,ISP,ISP_CATEGORY,PARTICIPATION,ENROLLMENT
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,LITTLE CITIZENS / WESTSIDE ACADEMY #3,100.0%,60% and higher,Y,1
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,LOCKE CHILDREN'S CENTER,52.0%,50%-60%,Y,77
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,LOCKHURST DRIVE CHARTER ELEMENTARY,18.4%,Below 25%,Y,489
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,LOCKWOOD AVENUE ELEMENTARY,63.7%,60% and higher,Y,347
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,LOGAN ACADEMY OF GLOBAL ECOLOGY,70.2%,60% and higher,Y,379
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,LOGAN CHILDREN'S CENTER,39.8%,25%-40%,Y,88
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,LOMA VISTA ELEMENTARY,67.7%,60% and higher,Y,564
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,LOMITA MATH/SCIENCE/TECHNOLOGY MAGNET,40.1%,40%-50%,Y,842
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,LOREN MILLER ELEMENTARY,82.2%,60% and higher,Y,647
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,LORENA STREET ELEMENTARY,70.3%,60% and higher,Y,401
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,LORETO STREET ELEMENTARY,68.5%,60% and higher,Y,270
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,LORNE STREET ELEMENTARY,47.7%,40%-50%,Y,365
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,LOS ANGELES ACADEMY MIDDLE,77.1%,60% and higher,Y,965
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,LOS ANGELES CENTER FOR ENRICHED STUDIES,28.3%,25%-40%,Y,1374
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,LOS ANGELES ELEMENTARY,68.2%,60% and higher,Y,488
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,LOS ANGELES SENIOR HIGH,45.6%,40%-50%,Y,1811
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,LOS ANGELES TRADE-TECHNICAL COLLEGE,73.6%,60% and higher,Y,220
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,LOS FELIZ SCIENCE/TECH/ENGINEER/MATH/MEDICINE MAGNET,56.2%,50%-60%,Y,406
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,LOVELIA P. FLOURNOY ELEMENTARY,84.5%,60% and higher,Y,470
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,LOYOLA VILLAGE FINE AND PERFORMING ARTS MAGNET,52.4%,50%-60%,Y,191
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,LUCILLE ROYBAL-ALLARD ELEMENTARY,58.0%,50%-60%,Y,481
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,LUTHER BURBANK MIDDLE,56.1%,50%-60%,Y,891
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,MACARTHUR PARK ELEMENTARY SCHOOL FOR THE VISUAL AND PERFORMING A,75.3%,60% and higher,Y,381
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,MADISON ELEMENTARY,66.2%,60% and higher,Y,526
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,MAGNOLIA AVENUE ELEMENTARY,74.2%,60% and higher,Y,577
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,MAIN STREET ELEMENTARY,78.7%,60% and higher,Y,717
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,MALABAR STREET ELEMENTARY,76.5%,60% and higher,Y,468
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,MANCHESTER AVENUE ELEMENTARY,79.8%,60% and higher,Y,570
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,MANHATTAN PLACE ELEMENTARY,79.8%,60% and higher,Y,287
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,MANUAL ARTS SENIOR HIGH,72.9%,60% and higher,Y,1035
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,MAPLE PRIMARY CENTER,69.4%,60% and higher,Y,206
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,MAR VISTA ELEMENTARY,7.0%,Below 25%,Y,541
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,MARGUERITE POINDEXTER LAMOTTE ELEMENTARY,76.3%,60% and higher,Y,464
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,MARIANNA AVENUE ELEMENTARY,65.8%,60% and higher,Y,298
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,MARINA CHILDREN'S CENTER,37.0%,25%-40%,Y,46
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,MARINA DEL REY MIDDLE,68.9%,60% and higher,Y,395
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,MARIPOSA-NABI PRIMARY CENTER,65.9%,60% and higher,Y,138
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,MARK TWAIN MIDDLE,41.9%,40%-50%,Y,886
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,MARLTON,73.9%,60% and higher,Y,138
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,MARQUEZ CHARTER,12.0%,Below 25%,Y,316
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,MARTHA ESCUTIA PRIMARY CENTER,58.4%,50%-60%,Y,238
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,MARTIN LUTHER KING JR. ELEMENTARY,71.9%,60% and higher,Y,320
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,MARVIN CHILDREN'S CENTER,40.0%,40%-50%,Y,105
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,MARVIN ELEMENTARY,61.4%,60% and higher,Y,564
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,MARY MCLEOD BETHUNE MIDDLE,80.9%,60% and higher,Y,878
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,MAURICE SENDAK ELEMENTARY,67.4%,60% and higher,Y,408
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,MAYALL STREET ELEMENTARY,39.6%,25%-40%,Y,449
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,MAYBERRY STREET ELEMENTARY,53.5%,50%-60%,Y,172
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,MAYWOOD ACADEMY HIGH,66.0%,60% and higher,Y,1050
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,MAYWOOD ELEMENTARY,61.7%,60% and higher,Y,478
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,MCKINLEY AVENUE ELEMENTARY,80.1%,60% and higher,Y,532
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,MELROSE AVENUE ELEMENTARY,22.3%,Below 25%,Y,436
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,MELVIN AVENUE ELEMENTARY,60.3%,60% and higher,Y,398
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,MENLO AVENUE ELEMENTARY,79.4%,60% and higher,Y,355
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,MERIDIAN CHILDREN'S CENTER,33.8%,25%-40%,Y,80
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,MERVYN M. DYMALLY HIGH,74.5%,60% and higher,Y,714
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,METROPOLITAN CONTINUATION,88.0%,60% and higher,Y,92
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,MEYLER STREET ELEMENTARY,60.2%,60% and higher,Y,631
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,MICHELLE OBAMA ELEMENTARY,73.8%,60% and higher,Y,572
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,MICHELTORENA STREET ELEMENTARY,29.7%,25%-40%,Y,347
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,MID-CITY'S PRESCOTT SCHOOL OF ENRICHED SCIENCES,44.2%,40%-50%,Y,199
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,MIDDLE COLLEGE HIGH,53.7%,50%-60%,Y,354
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,MIDDLETON PRIMARY CENTER,62.9%,60% and higher,Y,240
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,MIDDLETON STREET ELEMENTARY,74.7%,60% and higher,Y,657
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,MILES AVE CHILDREN'S CNTR II,48.1%,40%-50%,Y,129
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,MILES AVENUE ELEMENTARY,69.7%,60% and higher,Y,865
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,MIRAMONTE CHILDREN'S CENTER,52.9%,50%-60%,Y,102
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,MIRAMONTE ELEMENTARY,78.6%,60% and higher,Y,686
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,MISSION CONTINUATION,80.9%,60% and higher,Y,115
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,MONETA CONTINUATION,69.4%,60% and higher,Y,36
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,MONTARA AVENUE ELEMENTARY,58.0%,50%-60%,Y,678
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,MONTE VISTA CHILDREN'S CENTER,32.9%,25%-40%,Y,73
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,MONTE VISTA STREET ELEMENTARY,66.8%,60% and higher,Y,229
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,MONTEREY CONTINUATION,67.9%,60% and higher,Y,56
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,MORNINGSIDE ELEMENTARY,63.7%,60% and higher,Y,433
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,MORRIS K. HAMASAKI ELEMENTARY,59.8%,50%-60%,Y,353
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,MOUNTAIN VIEW ELEMENTARY,45.9%,40%-50%,Y,530
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,MT. GLEASON MIDDLE,52.6%,50%-60%,Y,747
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,MT. LUKENS CONTINUATION,68.2%,60% and higher,Y,44
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,MT. WASHINGTON ELEMENTARY,8.1%,Below 25%,Y,433
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,MULTNOMAH STREET ELEMENTARY,50.3%,50%-60%,Y,330
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,MURCHISON CHILDREN'S CNTR II,40.0%,40%-50%,Y,70
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,MURCHISON STREET ELEMENTARY,77.5%,60% and higher,Y,368
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,NAPA STREET ELEMENTARY,69.4%,60% and higher,Y,432
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,NATHANIEL NARBONNE SENIOR HIGH,52.7%,50%-60%,Y,2024
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,NESTLE AVENUE CHARTER,45.6%,40%-50%,Y,450
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,NEVADA AVENUE ELEMENTARY,58.9%,50%-60%,Y,406
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,NEVIN AVENUE ELEMENTARY,74.4%,60% and higher,Y,520
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,NEWCASTLE ELEMENTARY,65.2%,60% and higher,Y,330
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,NINETY-FIFTH STREET ELEMENTARY,80.3%,60% and higher,Y,773
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,NINETY-NINTH STREET ELEMENTARY,75.2%,60% and higher,Y,521
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,NINETY-SECOND STREET ELEMENTARY,76.1%,60% and higher,Y,673
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,NINETY-SIXTH STREET ELEMENTARY,77.9%,60% and higher,Y,603
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,NINETY-THIRD STREET ELEMENTARY,79.9%,60% and higher,Y,849
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,NINTH STREET ELEMENTARY,74.8%,60% and higher,Y,314
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,NOBLE AVE CHILDREN'S CENTER,45.1%,40%-50%,Y,102
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,NOBLE AVENUE ELEMENTARY,72.6%,60% and higher,Y,741
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,NORA STERRY ELEMENTARY,54.8%,50%-60%,Y,197
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,NORMANDIE AVE CHILDREN'S CNTR,46.5%,40%-50%,Y,71
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,NORMANDIE AVENUE ELEMENTARY,73.8%,60% and higher,Y,595
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,NORMONT CHILDREN'S CENTER,23.8%,Below 25%,Y,84
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,NORMONT ELEMENTARY,61.6%,60% and higher,Y,297
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,NORTH HOLLYWOOD SENIOR HIGH,44.5%,40%-50%,Y,2479
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,NORTH HOLLYWOOD TRI-C,79.4%,60% and higher,Y,276
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,NORTHPOINT,42.9%,40%-50%,Y,14
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,NORTHRIDGE ACADEMY HIGH,49.8%,40%-50%,Y,889
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,NORTHRIDGE EARLY ED CTR/CCC,37.3%,25%-40%,Y,110
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,NORTHRIDGE MIDDLE,66.6%,60% and higher,Y,707
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,NORWOOD STREET ELEMENTARY,71.2%,60% and higher,Y,344
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,NUEVA VISTA ELEMENTARY,66.1%,60% and higher,Y,704
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,O'MELVENY ELEMENTARY,58.1%,50%-60%,Y,418
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,ODYSSEY CONTINUATION,66.3%,60% and higher,Y,101
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,OLIVE VISTA MIDDLE,58.9%,50%-60%,Y,940
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,OLIVER WENDELL HOLMES MIDDLE,43.7%,40%-50%,Y,900
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,OLYMPIC PRIMARY CENTER,75.5%,60% and higher,Y,167
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,ONE HUNDRED EIGHTEENTH STREET,78.0%,60% and higher,Y,509
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,ONE HUNDRED EIGHTY-SIXTH STREET ELEMENTARY,60.0%,50%-60%,Y,657
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,ONE HUNDRED FIFTY-SIXTH STREET ELEMENTARY,37.0%,25%-40%,Y,351
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,ONE HUNDRED FIFTY-THIRD STREET,63.2%,60% and higher,Y,429
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,ONE HUNDRED NINTH STREET ELEMENTARY,71.6%,60% and higher,Y,345
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,ONE HUNDRED SEVENTH STREET ELEMENTARY,74.2%,60% and higher,Y,902
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,ONE HUNDRED SIXTEENTH STREET ELEMENTARY,66.1%,60% and higher,Y,434
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,ONE HUNDRED THIRTY-FIFTH STREET ELEMENTARY,65.2%,60% and higher,Y,598
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,ONE HUNDRED TWELFTH STREET ELEMENTARY,81.5%,60% and higher,Y,362
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,ONE HUNDRED TWENTY-SECOND STREET ELEMENTARY,72.6%,60% and higher,Y,623
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,OPEN CHARTER MAGNET,11.8%,Below 25%,Y,397
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,ORCHARD ACADEMIES 2B,65.5%,60% and higher,Y,750
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,ORTHOPAEDIC HOSPITAL,69.4%,60% and higher,Y,643
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,ORVILLE WRIGHT ENGINEERING AND DESIGN MAGNET,48.3%,40%-50%,Y,377
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,OSCEOLA STREET ELEMENTARY,53.3%,50%-60%,Y,364
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,OVERLAND AVENUE ELEMENTARY,8.8%,Below 25%,Y,442
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,OWENSMOUTH CONTINUATION,66.3%,60% and higher,Y,92
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,OXNARD STREET ELEMENTARY,60.9%,60% and higher,Y,289
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,PACIFIC BOULEVARD,67.4%,60% and higher,Y,365
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,PACIFIC RIDGE SCHOOL,51.9%,50%-60%,Y,27
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,PACOIMA CHILDREN'S CENTER,55.9%,50%-60%,Y,59
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,PACOIMA MIDDLE,62.7%,60% and higher,Y,903
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,PALISADES CHARTER ELEMENTARY,8.1%,Below 25%,Y,419
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,PALMS ELEMENTARY,49.8%,40%-50%,Y,263
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,PALMS MIDDLE,42.1%,40%-50%,Y,1215
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,PANORAMA CITY ELEMENTARY,76.6%,60% and higher,Y,491
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,PANORAMA HIGH,67.1%,60% and higher,Y,1445
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,PARK AVENUE ELEMENTARY,66.0%,60% and higher,Y,338
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,PARK WESTERN PL CHILDREN'S CNT,19.7%,Below 25%,Y,66
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,PARK WESTERN PLACE ELEMENTARY,36.0%,25%-40%,Y,561
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,PARKS HUERTA EARLY ED. CNTR.,52.1%,50%-60%,Y,96
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,PARMELEE AVENUE ELEMENTARY,76.2%,60% and higher,Y,745
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,PARTHENIA ACADEMY OF ARTS AND TECHNOLOGY,67.1%,60% and higher,Y,453
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,PASEO DEL REY FUNDAMENTAL,30.5%,25%-40%,Y,59
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,PATRICK HENRY MIDDLE,46.2%,40%-50%,Y,1024
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,PAUL REVERE CHARTER MIDDLE,21.1%,Below 25%,Y,1696
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,PHINEAS BANNING SENIOR HIGH,56.5%,50%-60%,Y,2398
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,PHOENIX CONTINUATION,74.6%,60% and higher,Y,67
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,PINEWOOD AVENUE ELEMENTARY,67.8%,60% and higher,Y,211
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,PINEWOOD CHILDREN'S CENTER,28.1%,25%-40%,Y,96
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,PIO PICO MIDDLE,74.2%,60% and higher,Y,205
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,PLAINVIEW ACADEMIC CHARTER ACADEMY,61.3%,60% and higher,Y,297
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,PLAYA DEL REY ELEMENTARY,21.6%,Below 25%,Y,268
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,PLAYA VISTA ELEMENTARY,14.8%,Below 25%,Y,418
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,PLUMMER ELEMENTARY,72.2%,60% and higher,Y,724
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,POINT FERMIN ELEMENTARY,35.8%,25%-40%,Y,313
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,POMELO COMMUNITY CHARTER,19.5%,Below 25%,Y,575
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,PORTER RANCH COMMUNITY,12.7%,Below 25%,Y,1385
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,PRESIDENT AVENUE ELEMENTARY,42.9%,40%-50%,Y,413
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,PRIMARY ACADEMY FOR SUCCESS,67.7%,60% and higher,Y,272
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,PUBLIC SERVICE COMMUNITY AT DIEGO RIVERA LEARNING COMPLEX,72.6%,60% and higher,Y,2008
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,PUEBLO DE LOS ANGELES CONTINUATION,80.6%,60% and higher,Y,98
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,PURCHE AVENUE ELEMENTARY,64.2%,60% and higher,Y,377
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,QUEEN ANNE PLACE ELEMENTARY,54.2%,50%-60%,Y,330
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,QUINCY JONES ELEMENTARY,71.8%,60% and higher,Y,273
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,RAMON C. CORTINES SCHOOL OF VISUAL AND PERFORMING ARTS,48.5%,40%-50%,Y,1168
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,RAMONA ELEMENTARY,75.3%,60% and higher,Y,296
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,RAMONA OPPORTUNITY HIGH,74.1%,60% and higher,Y,27
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,RANCHITO AVENUE ELEMENTARY,59.3%,50%-60%,Y,442
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,RANCHO DOMINGUEZ PREPARATORY,57.0%,50%-60%,Y,707
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,RAYMOND AVENUE ELEMENTARY,69.7%,60% and higher,Y,472
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,RESEDA CHARTER HIGH,59.2%,50%-60%,Y,1406
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,RESEDA ELEMENTARY,63.4%,60% and higher,Y,440
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,RICARDO LIZARRAGA ELEMENTARY,76.0%,60% and higher,Y,474
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,RICHARD A. ALONZO COMMUNITY DAY,67.0%,60% and higher,Y,91
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,RICHARD E. BYRD MIDDLE,59.9%,50%-60%,Y,1117
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,RICHARD HENRY DANA MIDDLE,57.9%,50%-60%,Y,1411
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,RICHARD RIORDAN PRIMARY CENTER,50.0%,50%-60%,Y,144
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,RICHLAND AVENUE ELEMENTARY,13.1%,Below 25%,Y,320
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,RIO VISTA ELEMENTARY,30.7%,25%-40%,Y,384
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,RITTER ELEMENTARY,77.9%,60% and higher,Y,308
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,RIVERSIDE DRIVE CHARTER,33.2%,25%-40%,Y,389
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,ROBERT A. MILLIKAN AFFILIATED CHARTER & PERFORMING ARTS MAGNET M,36.7%,25%-40%,Y,1303
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,ROBERT E. PEARY MIDDLE,59.0%,50%-60%,Y,1150
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,ROBERT F. KENNEDY ELEMENTARY,73.4%,60% and higher,Y,214
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,ROBERT FROST MIDDLE,30.3%,25%-40%,Y,1362
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,ROBERT FULTON COLLEGE PREPARATORY,66.3%,60% and higher,Y,1234
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,ROBERT H. LEWIS CONTINUATION,72.8%,60% and higher,Y,92
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,ROBERT HILL LANE ELEMENTARY,50.9%,50%-60%,Y,283
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,ROBERT LOUIS STEVENSON COLLEGE AND CAREER PREPARATORY,71.9%,60% and higher,Y,879
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,ROCKDALE VISUAL & PERFORMING ARTS MAGNET,26.4%,25%-40%,Y,292
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,ROSA PARKS LEARNING CENTER,76.7%,60% and higher,Y,562
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,ROSCOE ELEMENTARY,65.6%,60% and higher,Y,532
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,ROSCOMARE ROAD ELEMENTARY,8.4%,Below 25%,Y,415
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,ROSEMONT AVENUE ELEMENTARY,68.5%,60% and higher,Y,197
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,ROSEMONT CHILDREN'S CENTER,50.8%,50%-60%,Y,67
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,ROSEWOOD AVENUE ELEMENTARY,43.0%,40%-50%,Y,244
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,ROWAN AVENUE ELEMENTARY,70.7%,60% and higher,Y,702
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,ROY ROMER MIDDLE,65.7%,60% and higher,Y,826
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,RUDECINDA SEPULVEDA DODSON MIDDLE,35.2%,25%-40%,Y,1280
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,RUSSELL ELEMENTARY,72.2%,60% and higher,Y,832
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,SALLY RIDE ELEMENTARY: A SMART ACADEMY,79.8%,60% and higher,Y,420
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,SAMUEL GOMPERS MIDDLE,79.7%,60% and higher,Y,635
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,SAN ANTONIO CONTINUATION,76.7%,60% and higher,Y,159
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,SAN ANTONIO ELEMENTARY,62.4%,60% and higher,Y,473
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,SAN FERNANDO EARLY EDUCATION,40.2%,40%-50%,Y,107
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,SAN FERNANDO ELEMENTARY,62.0%,60% and higher,Y,508
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,SAN FERNANDO MIDDLE,65.9%,60% and higher,Y,882
